Station,displacement,displacement_sd,slope,slope_sd,r2,r2_sd
la01,0.21194143306946953,0.11847034197479443,7.568132314088561e-05,1.7581732396231908e-05,0.9742849423468455,0.034481665946412325
la02,0.2599917774171244,0.6651729925200696,6.970884966077933e-05,4.2220992642118526e-05,0.9774700180183179,0.024797303580603974
la03,0.19899092522185433,0.09698103169118946,7.38826161655526e-05,5.583626842302447e-06,0.9823223750907323,0.01718857718537431
la04,0.12969881079310286,0.07149371754140996,4.558443018849338e-05,1.1502565126837798e-05,0.9406519105108898,0.058169513565434164
la05,0.13170430666510233,0.10058853754785459,4.9734518752766805e-05,3.1232604668500954e-05,0.9003924643737689,0.13217340728544366
la06,0.09773380257440417,0.0645546157670544,3.2307193086446416e-05,1.1182311805378716e-05,0.8392664197595748,0.1605378369587931
la07,0.17111588094817073,0.07926590788095496,5.6013318134688515e-05,7.085383525799659e-06,0.9733360266551953,0.02561250484163213
la08,0.24770926581229905,0.14736042229078505,8.252275018330546e-05,1.6235693328728142e-05,0.9880862129422686,0.01743463562684238
la09,0.26847662251920906,0.10242157582725621,8.13302581092573e-05,9.541254361869005e-05,0.9885206690091334,0.019332865174654608
la10,0.05288458712248527,0.037526391296105646,1.691676389267281e-05,8.028772423466446e-06,0.7005084088865148,0.24232292680932607
la11,0.22887229048956215,0.10833495605530563,8.489081839663732e-05,5.182458129514981e-06,0.9873265151574576,0.009548443490236664
la12,0.22502014144636134,0.09176050296988693,7.657989975894956e-05,5.090217810779949e-06,0.9887713002128459,0.008566871147005137
la13,0.12167478065017522,0.07132471723443715,4.006346608332954e-05,9.291110876153158e-06,0.9104389181932326,0.08457884405171398
la14,0.010490578771708883,0.013648786267393055,2.9805977735283433e-06,3.8354150289135255e-06,0.232091391922866,0.21909710853204567
la15,0.010684958892845542,0.017688564633966827,2.4987187825071055e-06,5.048312097270298e-06,0.24749896004590702,0.2327962694487799
la16,0.055252676141452226,0.03405938833686134,1.583272941722739e-05,8.704178406590028e-06,0.7002525399180057,0.22836115007104524
la17,0.26324179538115416,0.11340560526268235,7.475331013676904e-05,7.672005541131553e-05,0.988253443694507,0.023785507618529333
la18,0.31267602867986644,0.1074300750224736,8.575483870380812e-05,1.5494940994017174e-05,0.9922601706344298,0.02641652094831389
ws04,0.17069944644357415,0.08985595981646786,6.438579594067619e-05,7.690160608408186e-06,0.9674935839775045,0.026464235679291872
ws05,0.1933004918034633,0.10102206581838698,7.303241735111034e-05,6.956534784936631e-06,0.9777880574486942,0.01944119959057449
gz01,0.0850221062880344,0.05057178606882556,2.9735756515869998e-05,2.4970662997832138e-05,0.7401543894362531,0.24563181805367465
gz02,0.0897953379169969,0.05438529604939444,3.238583846742657e-05,2.9102468458552637e-05,0.7337489475313048,0.26271662295599985
gz03,0.09012867250451156,0.08308159216661377,3.232836530625551e-05,5.2312811272799465e-05,0.6089791148268802,0.31334592952342116
gz04,0.1091927343084045,0.07964212420126975,4.114330816754063e-05,4.378649619956827e-05,0.6841765317083449,0.3129517674840847
gz05,0.12843122746618285,0.06195781544624737,4.519893626515054e-05,2.8703111306512675e-05,0.9017642083224294,0.07604900711661941
gz06,0.08345475598981553,0.051404557132329845,3.1618165185406147e-05,2.9092878632720683e-05,0.7028924885903058,0.30424617966183537
gz07,0.07841255845948647,0.09275856157882455,3.0036412527970038e-05,5.850050018487114e-05,0.608738890490847,0.32036584625622794
gz08,0.10416192887511071,0.06051022413160375,3.7822312560350985e-05,3.1394485988338946e-05,0.7587845469076366,0.2481877429198038
